Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[age]	Unit	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[diet]	Comment[Feeding Schedule]	Characteristics[Final Body Weight]	Unit	Term Source REF	Term Accession Number	Factor Value[Partial Weight Bearing]	Factor Value[Time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[light cycle]	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
492522	492522_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	393.7	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	normal loading with full harness (PWB100)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495103	495103_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	354.3	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	40% of normal loading (PWB40)	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495104	495104_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	380.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	70% of normal loading (PWB70)	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495105	495105_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	381.9	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	normal loading with full harness (PWB100)	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495108	495108_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	345.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	40% of normal loading (PWB40)	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495109	495109_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	375.4	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	40% of normal loading (PWB40)	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495110	495110_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	375.4	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	20% of normal loading (PWB20)	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495111	495111_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	342.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	40% of normal loading (PWB40)	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495114	495114_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	381.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	70% of normal loading (PWB70)	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495118	495118_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	417.6	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	40% of normal loading (PWB40)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495119	495119_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	414	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	70% of normal loading (PWB70)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495122	495122_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	394.5	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	40% of normal loading (PWB40)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495123	495123_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	418.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	70% of normal loading (PWB70)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495125	495125_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	441.6	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	40% of normal loading (PWB40)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495126	495126_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	478.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	70% of normal loading (PWB70)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495127	495127_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	382.4	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	70% of normal loading (PWB70)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
501572	501572_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	449.4	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	normal loading with full harness (PWB100)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
501574	501574_Right Femur	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Femur	FMA	http://purl.obolibrary.org/obo/FMA_24474	LabDiet 5008i (LabDiet)	ad libitum	359.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	70% of normal loading (PWB70)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Carbon Dioxide	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C65288	sample collection	70% Ethyl Alcohol	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62218	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
