Sample Name	Protocol REF	Fluorochrome Label	Term Source REF	Term Accession Number	Parameter Value[Fluorochrome label injection timing]	Parameter Value[Sample Preparation]	Parameter Value[Section Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Stain]	Parameter Value[Instrument (Ex. Microscope)]	Assay Name	Raw Data File	Parameter Value[Submitted Results File]	Protocol REF	Parameter Value[Transformed Reusable Files]
492522_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
495103_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
495104_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
495105_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
495108_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
495109_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
495110_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
495111_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
495114_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
495118_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
495119_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
495122_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
495123_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
495125_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
495126_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
495127_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
501572_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
501574_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
501576_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
501577_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
501578_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
501579_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
502997_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
509763_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
509766_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
509767_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
509768_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
509769_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
509770_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
509771_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
509772_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
509773_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
509774_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
509776_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
509778_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
509779_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
511686_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
511688_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
511689_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
511692_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
511698_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
511699_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
511703_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
511707_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
511709_Right Femur	Histomorphometry	Calcein (25 mg/kg injection intraperitoneal)	OSD	https://osdr.nasa.gov/	10 days and 3 days prior to euthanasia	70% ethanol	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Unstained	OsteoMeasure System (Osteometrics)	Histomorphometry	Not Available	LSDS-40_histomorphometry_LSDS-40_histo_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-40_histomorphometry_LSDS-40_histomorphometry_KoTRANSFORMED.csv
