Sample Name	Protocol REF	Fluorochrome Label	Term Source REF	Term Accession Number	Parameter Value[Fluorochrome label injection timing]	Parameter Value[Sample Preparation]	Parameter Value[Embedding Mixture]	Parameter Value[Section Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Stain]	Comment[Analysis Software]	Assay Name	Raw Data File	Parameter Value[Submitted Results Files]	Protocol REF	Parameter Value[Transformed Reusable Files]
FLT12_RAT6B_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
GC2_RAT13B_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
GC3_RAT14A_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
GC4_RAT14B_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
GC5_RAT15A_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
GC6_RAT15B_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
GC7_RAT16A_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
GC8_RAT16B_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
GC9_RAT17A_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
GC10_RAT17B_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
GC11_RAT18A_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
GC12_RAT18B_LV2	Histomorphometry	calcein injection (20 mg/kg, intraperitoneal)	OSD	https://osdr.nasa.gov/	L-1day	dehydration in ethanol	mixture of methyl methacrylate and 2-hydroxyethyl-methacrylate (in a 12.5:1 ratio)	5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Toluidine Blue	OsteoMeasure System (OsteoMetrics, Atlanta, GA, USA)	Histomorphometry	Not Available	LSDS-30_histomorphometry_LV_NASA_4_19_18.xlsx	ALSDA Processed Data	LSDS-30_histomorphometry_turnerTRANSFORMED.xlsx
