Sample Name	Protocol REF	Parameter Value[Was Subject Anesthetized]	Parameter Value[Anesthesia Method]	Parameter Value[Was Calibration Performed]	Parameter Value[What Calibration Was Performed]	Parameter Value[Scanner]	Parameter Value[Volume Of Interest]	Parameter Value[Volume Of Interest Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Volume of Interest]	Parameter Value[Volume of Interest Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Voxel Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Raw Data File]	Parameter Value[Submitted Results File]	Protocol REF	Parameter Value[Transformed Reusable Files]
501575	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
501576	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
501578	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
479664	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
479668	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
479674	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
485922	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
485923	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
485924	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
479665	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
479670	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
479673	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
485916	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
485921	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
485925	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
495119	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
495123	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
495126	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
495127	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
479660	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
479663	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
479675	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
479677	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
479678	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
481359	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
491045	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
491053	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
495105	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
511694	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
479661	pQCT Scan	Yes	isoflurane	Yes	manufacturer-supplied hydroxyapatite phantom	XCT Research SA+ (Stratec)	Right Tibia	5.0, 5.5, 6.0	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	Proximal Tibia Plateau	20.0, 20.5	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	100	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Not Available	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoSUBMITTED.xlsx	ALSDA Transformed Data	LSDS-41_peripheral_quantitative_computed_tomography_pQCT_LSDS-41_pQCT_KoTRANSFORMED.csv
