Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[age]	Unit	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[diet]	Comment[Feeding Schedule]	Factor Value[Partial Weight Bearing]	Factor Value[Time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[light cycle]	Parameter Value[Anesthesia Method]	Term Source REF	Term Accession Number	Parameter Value[Housing Temperature]	Unit	Term Source REF	Term Accession Number
501575	501575_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	20% of normal loading (PWB20)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
501576	501576_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	20% of normal loading (PWB20)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
501578	501578_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	20% of normal loading (PWB20)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
479664	479664_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	40% of normal loading (PWB40)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
479668	479668_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	40% of normal loading (PWB40)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
479674	479674_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	40% of normal loading (PWB40)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
485922	485922_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	40% of normal loading (PWB40)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
485923	485923_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	40% of normal loading (PWB40)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
485924	485924_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	40% of normal loading (PWB40)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
479665	479665_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	70% of normal loading (PWB70)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
479670	479670_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	70% of normal loading (PWB70)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
479673	479673_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	70% of normal loading (PWB70)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
485916	485916_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	70% of normal loading (PWB70)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
485921	485921_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	70% of normal loading (PWB70)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
485925	485925_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	70% of normal loading (PWB70)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495119	495119_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	70% of normal loading (PWB70)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495123	495123_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	70% of normal loading (PWB70)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495126	495126_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	70% of normal loading (PWB70)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
495127	495127_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	70% of normal loading (PWB70)	1	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
479660	479660_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	normal loading with full harness (PWB100)	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
479663	479663_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	normal loading with full harness (PWB100)	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
479675	479675_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	normal loading with full harness (PWB100)	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
479677	479677_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	normal loading with full harness (PWB100)	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
479678	479678_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	normal loading with full harness (PWB100)	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
481359	481359_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	normal loading with full harness (PWB100)	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
491045	491045_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	normal loading with full harness (PWB100)	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
491053	491053_Tibia	Rattus norvegicus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10116	Rats, Wistar	MESH	http://purl.bioontology.org/ontology/MESH/D017208	Charles River Laboratories	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	14	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Right Tibia	FMA	http://purl.org/sig/ont/fma/fma24477	LabDiet 5008i (LabDiet)	ad libitum	normal loading with full harness (PWB100)	2	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Treatment Protocol	12:12-h light-dark cycle	Isoflurane	MESH	http://purl.bioontology.org/ontology/MESH/D007530	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
